,product,unit,kelembaban,tekanan,waktu,suhu,T-Squared,keterangan,D1,D2,D3,D4,Variabel Berpengaruh
295,GAF17,GITAR_AKUSTIK_D-12_FRET,0.062,25.85,20.9,151.26,1.9523551234375263,In Control,0.0012200308859284803,0.47163955795449586,0.038915955828779936,0.29119540413631295,Tekanan
296,GAF18,GITAR_AKUSTIK_D-12_FRET,0.067,24.95,21.26,149.98,4.830963794507062,In Control,0.5231673941761397,0.22808680174003104,4.1111135275973005,0.16517899745494447,Waktu
297,GAF19,GITAR_AKUSTIK_D-12_FRET,0.07,24.5,21.42,149.29,13.09119345886309,In Control,1.6953394604634564,0.9448070118010907,8.93615915694733,0.6530462988142922,Waktu
298,GAF20,GITAR_AKUSTIK_D-12_FRET,0.066,25.11,19.75,150.2,2.360545363910504,In Control,0.2000115982650552,0.04217989237697095,2.1549576792944056,0.012787213516153084,Waktu
299,GAF21,GITAR_AKUSTIK_D-12_FRET,0.065,25.21,20.31,150.35,0.2924302529315209,In Control,0.13432703663082074,0.03541312164504817,0.19298232819603225,0.04742841633501582,Waktu
300,GAF22,GITAR_AKUSTIK_D-12_FRET,0.065,25.39,20.32,150.54,0.2639060947352581,In Control,2.783731321853722e-05,0.04544600955027059,0.202613140883699,0.02828701561906502,Waktu
301,GAF23,GITAR_AKUSTIK_D-12_FRET,0.065,25.27,20.9,150.43,0.7070248598347855,In Control,0.028854836781129656,0.007853883866733802,0.6957369480086348,0.016286379962135666,Waktu
302,GAF24,GITAR_AKUSTIK_D-12_FRET,0.063,25.66,20.16,150.97,2.2555790091191437,In Control,0.2255322867482521,0.22937577352397875,1.445560823402832,0.14547953622201426,Waktu
303,GAF25,GITAR_AKUSTIK_D-12_FRET,0.066,25.07,21.33,150.12,4.2996354230179294,In Control,0.22895199651297737,0.1499333423927931,3.952236785864888,0.22175598985495615,Waktu
304,GAF26,GITAR_AKUSTIK_D-12_FRET,0.069,24.67,21.39,149.54,9.96548886249752,In Control,1.354609557794479,0.583558692402347,7.377339833251238,0.40491872846796184,Waktu
